ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
WINA,2025-04-16,2025,Q1,2024-12-29,2025-03-29,https://api.polygon.io/v1/reference/sec/filings/0000908315-25-000020,21919700.0,8787100.0,,,,8787100.0,,,,8323100.0,7434800.0,,,888300.0,13596600.0,,,9956400.0,13132600.0,,,,,,,3176200.0,,,,,,,,,,,9956400.0,0,,9956400.0,,9956400.0,0,,0,2.81,2.71,3538647.0,3672943.0,,37062500.0,25775000.0,,,338200,881600.0,24555200.0,11287500.0,,1373400.0,,,9914100.0,83003800.0,9692400.0,1544100.0,,,8148300.0,73311400.0,,,,,,,,-45941300.0,0,-45941300.0,,,37062500.0,15078400.0,15078400.0,,-51200.0,-51200.0,,-5388200.0,-5388200.0,,,9639000.0,9639000.0,,9956400.0,0,9956400.0,9956400.0,,
WINA,2025-02-26,2024,FY,2023-12-31,2024-12-28,https://api.polygon.io/v1/reference/sec/filings/0000908315-25-000010,81289100.0,30065100.0,3379200.0,,,30065100.0,77909900.0,,,24979300.0,24944200.0,,,35100.0,52930600.0,,,39954200.0,51224000.0,,,,,,,11269800.0,11429100.0,-159300.0,,,,,,,,,39954200.0,0,,39954200.0,,39954200.0,0,,0,11.36,10.89,3516122.0,3667479.0,,26844500.0,15365600.0,,,397600,1205400.0,13762600.0,11478900.0,,1419400.0,,,10059500.0,77890600.0,5087900.0,1562000.0,,592900.0,2933000.0,72802700.0,,,,,,,,-51046100.0,0,-51046100.0,,,26844500.0,42157900.0,42157900.0,,-194900.0,-194900.0,,-43019700.0,-43019700.0,,,-1056700.0,-1056700.0,,39954200.0,0,39954200.0,39954200.0,,
WINA,2024-10-16,2024,Q3,2024-06-30,2024-09-28,https://api.polygon.io/v1/reference/sec/filings/0000908315-24-000035,21510900.0,6900000.0,,,,6900000.0,,,,6582300.0,5919800.0,,,662500.0,14928600.0,,,11120700.0,14610900.0,,,,,,,3490200.0,,,,,,,,,,,11120700.0,0,,11120700.0,,11120700.0,0,,0,3.16,3.03,3520334.0,3671121.0,,51951200.0,40502600.0,,,441800,1171600.0,38889200.0,11448600.0,,1519000.0,,,9929600.0,85695100.0,10549400.0,1600700.0,,,8948700.0,75145700.0,,,,,,,,-33743900.0,0,-33743900.0,,,51951200.0,12114000.0,12114000.0,,-4300.0,-4300.0,,-4220100.0,-4220100.0,,,7889600.0,7889600.0,,11120700.0,0,11120700.0,11120700.0,,
WINA,2024-07-17,2024,Q2,2024-03-31,2024-06-29,https://api.polygon.io/v1/reference/sec/filings/0000908315-24-000031,20120500.0,7543500.0,,,,7543500.0,,,,7102900.0,6241800.0,,,861100.0,13017600.0,,,10431400.0,12577000.0,,,,,,,2145600.0,,,,,,,,,,,10431400.0,0,,10431400.0,,10431400.0,0,,0,2.97,2.85,3513788.0,3657439.0,,44686900.0,32953600.0,,,268200,1020800.0,31664600.0,11733300.0,,1636100.0,,,10097200.0,42224700.0,11452100.0,1478700.0,,,9973400.0,75459500.0,,,,,,,,-42224700.0,0,-42224700.0,,,44686900.0,8222000.0,8222000.0,,-102700.0,-102700.0,,-1594100.0,-1594100.0,,,6525200.0,6525200.0,,10431400.0,0,10431400.0,10431400.0,,
WINA,2024-04-17,2024,Q1,2023-12-31,2024-03-30,https://api.polygon.io/v1/reference/sec/filings/0000908315-24-000023,20109500.0,8441100.0,,,,8441100.0,,,,7891300.0,6817300.0,,,1074000.0,12218200.0,,,8819000.0,11668400.0,,,,,,,2849400.0,,,,,737700.0,,,,,,8819000.0,0,,8819000.0,,8819000.0,0,,0,2.52,2.41,3497261.0,3661367.0,,38336000.0,26281400.0,,,420900,1265600.0,24594900.0,12054600.0,,1649400.0,,,10405200.0,52579100.0,14374500.0,1296300.0,,,13078200.0,76540600.0,,,,,,,,-52579100.0,0,-52579100.0,,,38336000.0,13364000.0,13364000.0,,-87900.0,-87900.0,,-3790400.0,-3790400.0,,,9485700.0,9485700.0,,8819000.0,0,8819000.0,8819000.0,,
WINA,2024-02-28,2023,FY,2023-01-01,2023-12-30,https://api.polygon.io/v1/reference/sec/filings/0000908315-24-000010,83243500.0,31882200.0,4461500.0,,,31882200.0,78782000.0,,,25501400.0,25108700.0,,,392700.0,53280600.0,,,40178100.0,51361300.0,,,,,,,11183200.0,11695300.0,-512100.0,,,3091000.0,,,,,,40178100.0,0,,40178100.0,,40178100.0,0,,0,11.55,11.04,3479936.0,3640524.0,,28967700.0,16746500.0,,,386100,1392100.0,14968300.0,12221200.0,,1669800.0,,,10551400.0,88123800.0,10461600.0,1719400.0,,587700.0,8154500.0,77662200.0,,,,,,,,-59156100.0,0,-59156100.0,,,28967700.0,43994300.0,43994300.0,,-383900.0,-383900.0,,-43904500.0,-43904500.0,,,-294100.0,-294100.0,,40178100.0,0,40178100.0,40178100.0,,
WINA,2023-10-18,2023,Q3,2023-07-02,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000908315-23-000037,22317800.0,7573000.0,,,,7573000.0,,,,7195300.0,6248200.0,,,947100.0,15122500.0,,,11149800.0,14744800.0,,,,,,,3595000.0,,,,,763100.0,,,,,700.0,11149800.0,0,,11149800.0,,11149800.0,0,,0,3.2,3.05,3485852.0,3653730.0,,55547500.0,43811600.0,,,290900,1095100.0,42425600.0,11735900.0,,1675900.0,,,10060000.0,90111000.0,11632400.0,1694900.0,,,9937500.0,78478600.0,,,,,,,,-34563500.0,0,-34563500.0,,,55547500.0,12079100.0,12079100.0,,-187800.0,-187800.0,,-3671700.0,-3671700.0,,,8219600.0,8219600.0,,11149800.0,0,11149800.0,11149800.0,,
WINA,2023-07-19,2023,Q2,2023-04-02,2023-07-01,https://api.polygon.io/v1/reference/sec/filings/0000908315-23-000027,20362200.0,7598200.0,,,,7598200.0,,,,7111400.0,5810000.0,,,1301400.0,13250800.0,,,10368800.0,12764000.0,,,,,,,2395200.0,,,,,779100.0,,,,,-700.0,10368800.0,0,,10368800.0,,10368800.0,0,,0,2.98,2.85,3478628.0,3634688.0,,47654000.0,35848100.0,,,446900,819700.0,34581500.0,11805900.0,,1593400.0,,,10212500.0,43613100.0,11803000.0,1638400.0,,,10164600.0,79464100.0,,,,,,,,-43613100.0,0,-43613100.0,,,47654000.0,9301800.0,9301800.0,,-91400.0,-91400.0,,-1465500.0,-1465500.0,,,7744900.0,7744900.0,,10368800.0,0,10368800.0,10368800.0,,
WINA,2023-04-19,2023,Q1,2023-01-01,2023-04-01,https://api.polygon.io/v1/reference/sec/filings/0000908315-23-000017,20523600.0,8807100.0,,,,8807100.0,,,,8135200.0,6636100.0,,,1499100.0,12388400.0,,,8942700.0,11716500.0,,,,,,,2773800.0,,,,,797600.0,,,,,-4600.0,8942700.0,0,,8942700.0,,8942700.0,0,,0,2.58,2.49,3460720.0,3594234.0,,39749800.0,27641000.0,,,414300,888000.0,26338700.0,12108800.0,,1606100.0,,,10502700.0,54045000.0,13229800.0,1443700.0,,,11786100.0,80565000.0,,,,,,,,-54045000.0,0,-54045000.0,,,39749800.0,13850500.0,13850500.0,,-5500.0,-5500.0,,-2894000.0,-2894000.0,,,10951000.0,10951000.0,,8942700.0,0,8942700.0,8942700.0,,
WINA,2023-03-10,2022,FY,2021-12-26,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000908315-23-000010,81410800.0,30627300.0,3712800.0,,,30627300.0,77698000.0,,,24085200.0,23158400.0,,,926800.0,53612800.0,,,39424900.0,50783500.0,,,,,,,11358600.0,11646300.0,-287700.0,,,2914900.0,,,,,-57900.0,39424900.0,0,,39424900.0,,39424900.0,0,,0,11.3,10.97,3487732.0,3592456.0,,30455700.0,18103800.0,,,770600,1310400.0,16022800.0,12351900.0,,1704600.0,,,10647300.0,92087800.0,10595500.0,2122000.0,,755100.0,7718400.0,81492300.0,,,,,,,,-61632100.0,0,-61632100.0,,,30455700.0,43789300.0,43789300.0,,-3669700.0,-3669700.0,,-37876000.0,-37876000.0,,,2243600.0,2243600.0,,39424900.0,0,39424900.0,39424900.0,,
WINA,2022-10-12,2022,Q3,2022-06-26,2022-09-24,https://api.polygon.io/v1/reference/sec/filings/0000908315-22-000031,21164500.0,7542200.0,,,,7542200.0,,,,6743400.0,5671500.0,,,1071900.0,14421100.0,,,10368600.0,13622300.0,,,,,,,3253700.0,,,,,820500.0,,,,,-22000.0,10368600.0,0,,10368600.0,,10368600.0,0,,0,3.01,2.93,3439417.0,3540779.0,,33730400.0,21201900.0,,,637900,1006100.0,19557900.0,12528500.0,,1740700.0,,,10787800.0,94165500.0,11644800.0,1909900.0,,,9734900.0,82520700.0,,,,,,,,-60435100.0,0,-60435100.0,,,33730400.0,11836300.0,11836300.0,,-27000.0,-27000.0,,-3519900.0,-3519900.0,,,8289400.0,8289400.0,,10368600.0,0,10368600.0,10368600.0,,
WINA,2022-07-13,2022,Q2,2022-03-27,2022-06-25,https://api.polygon.io/v1/reference/sec/filings/0000908315-22-000027,19070800.0,7441500.0,,,,7441500.0,,,,6715700.0,5461600.0,,,1254100.0,12355100.0,,,9027200.0,11629300.0,,,,,,,2602100.0,,,,,712000.0,,,,,-15700.0,9027200.0,0,,9027200.0,,9027200.0,0,,0,2.61,2.54,3463886.0,3559231.0,,27054300.0,14276900.0,,,603400,861000.0,12812500.0,12777400.0,,1815300.0,,,10962100.0,68778700.0,12301400.0,1889300.0,,,10412100.0,83531600.0,,,,,,,,-68778700.0,0,-68778700.0,,,27054300.0,9021100.0,9021100.0,,-3561500.0,-3561500.0,,2949500.0,2949500.0,,,8409100.0,8409100.0,,9027200.0,0,9027200.0,9027200.0,,
WINA,2022-04-14,2022,Q1,2021-12-26,2022-03-26,https://api.polygon.io/v1/reference/sec/filings/0000908315-22-000019,20049800.0,7125600.0,,,,7125600.0,,,,6611600.0,5540000.0,,,1071600.0,13438200.0,,,9852500.0,12924200.0,,,,,,,3071700.0,,,,,513100.0,,,,,-8900.0,9852500.0,0,,9852500.0,,9852500.0,0,,0,2.74,2.65,3597926.0,3716322.0,,15270900.0,5886200.0,,,492300,985100.0,4408800.0,9384700.0,,1895900.0,,,7488800.0,65767700.0,12652700.0,1896000.0,,,10756700.0,68385900.0,,,,,,,,-65767700.0,0,-65767700.0,,,15270900.0,13347900.0,13347900.0,,-21500.0,-21500.0,,-24420900.0,-24420900.0,,,-11094500.0,-11094500.0,,9852500.0,0,9852500.0,9852500.0,,
WINA,2022-03-08,2021,FY,2020-12-27,2021-12-25,https://api.polygon.io/v1/reference/sec/filings/0000908315-22-000008,78216200.0,28348900.0,2940500.0,,,28348900.0,75275700.0,,,23939500.0,22295800.0,,,1643700.0,51336200.0,,,39919900.0,49867300.0,,,,,,,9947400.0,11309400.0,-1362000.0,,,1453900.0,,,,,-206600.0,39919900.0,0,,39919900.0,,39919900.0,0,,0,10.87,10.48,3671980.0,3810480.0,,26899000.0,17432300.0,,,325200,1008600.0,16098500.0,9466700.0,,1976900.0,,,7489800.0,65982400.0,9977600.0,2099000.0,,1085800.0,6792800.0,56004800.0,47687500.0,8317300.0,,,,,,-39083400.0,0,-39083400.0,,,26899000.0,48346200.0,48346200.0,,-283100.0,-283100.0,,-43310100.0,-43310100.0,,,4753000.0,4753000.0,,39919900.0,0,39919900.0,39919900.0,,
WINA,2021-10-13,2021,Q3,2021-06-27,2021-09-25,https://api.polygon.io/v1/reference/sec/filings/0000908315-21-000031,20153400.0,6706200.0,,,,6706200.0,,,,6364200.0,5380100.0,,,984100.0,13789200.0,,,10082500.0,13447200.0,,,,,,,3364700.0,,,,,323200.0,,,,,-55900.0,10082500.0,0,,10082500.0,,10082500.0,0,,0,2.77,2.67,3635055.0,3782873.0,,54971800.0,44419100.0,,,408600,958700.0,43051800.0,10552700.0,,2055800.0,,,8496900.0,67773900.0,10783900.0,1988600.0,,,8795300.0,56990000.0,,,,,,,,-12802100.0,0,-12802100.0,,,54971800.0,11921700.0,11921700.0,,-3200.0,-3200.0,,18417300.0,18417300.0,,,30335800.0,30335800.0,,10082500.0,0,10082500.0,10082500.0,,
WINA,2021-07-20,2021,Q2,2021-03-28,2021-06-26,https://api.polygon.io/v1/reference/sec/filings/0000908315-21-000026,19029600.0,7352100.0,,,,7352100.0,,,,7052700.0,5805200.0,,,1247500.0,11976900.0,,,8937300.0,11677500.0,,,,,,,2740200.0,,,,,304300.0,,,,,-62700.0,8937300.0,0,,8937300.0,,8937300.0,0,,0,2.42,2.33,3693503.0,3830844.0,,27019400.0,16141700.0,,,329400,687200.0,15125100.0,10877700.0,,2158200.0,,,8719500.0,12740500.0,11263100.0,1458000.0,,,9805100.0,28496800.0,,,,,,,,-12740500.0,0,-12740500.0,,,27019400.0,9539400.0,9539400.0,,-27000.0,-27000.0,,-10249000.0,-10249000.0,,,-736600.0,-736600.0,,8937300.0,0,8937300.0,8937300.0,,
